name,designation,role,exit_brand,exit_type,exit_year,category,notes,source_url,linkedin_url
Jennifer Fleiss,founder,Co-founder,Rent the Runway,IPO,2021,Apparel,Co-founded clothing rental,https://www.forbes.com/sites/elizahaverstock/2021/10/27/rent-the-runway-cofounders-worth/,
Jennifer Hyman,founder,Co-founder & CEO,Rent the Runway,IPO,2021,Apparel,Led $357M Nasdaq IPO,https://fortune.com/2021/10/27/rent-the-runway-ipo-jennifer-hyman/,
Roth Martin,founder,Co-founder & Chief Creative Officer,Rothy's,majority,2021,Apparel,Alpargatas 49.9% strategic investment,https://en.wikipedia.org/wiki/Rothy's,
Stephen Hawthornthwaite,founder,Co-founder & CEO,Rothy's,majority,2021,Apparel,"Alpargatas 49.9% strategic stake, $1B val",https://www.retaildive.com/news/brazilian-footwear-company-buys-499-stake-in-rothys/616405/,
Dayna Quanbeck,alumni,CFO then President & CEO,Rothy's,majority,2021,Apparel,Key pre-exit operator,https://www.prnewswire.com/news-releases/rothys-inc-leadership-transition-302030470.html,
Sara Blakely,founder,Founder & Executive Chairwoman,Spanx,majority,2021,Apparel,"Blackstone majority stake, $1.2B val",https://www.blackstone.com/news/press/blackstone-buys-majority-stake-in-spanx-inc/,
Jan Singer,alumni,CEO (non-founder),Spanx,majority,2021,Apparel,Non-founder CEO in Blackstone era,https://wwd.com/fashion-news/activewear/feature/jan-singer-ceo-exits-spanx-10371454/,
Katrina Lake,founder,Founder & CEO,Stitch Fix,IPO,2017,Apparel,"Founder-CEO, Nasdaq IPO",https://en.wikipedia.org/wiki/Katrina_Lake,
Mike Smith,alumni,President & COO,Stitch Fix,IPO,2017,Apparel,"Non-founder operator, scaled ops",https://wwd.com/business-news/human-resources/stitch-fix-mike-smith-president-1234672316/,
James Jebbia,founder,Founder,Supreme,acquisition,2020,Apparel,"Streetwear brand, VF Corp ~$2.1B",https://www.vfc.com/investors/news-events-presentations/press-releases/detail/1738,
Joe Kudla,founder,Founder & CEO,Vuori,majority,2024,Apparel,"GA/Stripes $825M investment, $5.5B val",https://www.generalatlantic.com/media-article/vuori-announces-825-million-investment/,
Nikki Sakelliou,alumni,Chief Marketing Officer,Vuori,majority,2024,Apparel,"First employee, led marketing",https://www.pixelz.com/blog/vuori-growth-vp-marketing-nikki-sakelliou/,
Peter LaBore,alumni,Chief Operating Officer,Vuori,majority,2024,Apparel,First COO under founder,https://shop-eat-surf-outdoor.com/press-releases/vuori-appoints-chief-operating-officer/508126/,
Dave Gilboa,founder,Co-founder & Co-CEO,Warby Parker,IPO,2021,Apparel,Co-led 2021 direct listing,https://www.cnbc.com/2021/09/29/warby-parker-direct-listing-wrby-nyse.html,
Neil Blumenthal,founder,Co-founder & Co-CEO,Warby Parker,IPO,2021,Apparel,NYSE direct listing,https://www.cnbc.com/2021/09/29/warby-parker-direct-listing-wrby-nyse.html,
Georgina Gooley,founder,Co-Founder,Billie,acquisition,2021,Beauty,$310M sale to Edgewell,https://www.axios.com/2021/11/30/edgewell-billie-razor-makers-310-million,
Jason Bravman,founder,Co-Founder,Billie,acquisition,2021,Beauty,$310M sale to Edgewell,https://www.prnewswire.com/news-releases/edgewell-personal-care-announces-acquisition-of-billie-inc-301433210.html,
Nancy Twine,founder,Founder & CEO,Briogeo,acquisition,2022,Beauty,Acquired by Wella Company,https://www.prnewswire.com/news-releases/wella-company-acquisition-of-briogeo-301536032.html,
Charlotte Tilbury,founder,Founder & Chief Creative Officer,Charlotte Tilbury,majority,2020,Beauty,Puig acquired majority stake,https://beautymatter.com/articles/puig-to-acquire-a-majority-stake-in-charlotte-tilbury-beauty,
Demetra Pinsent,alumni,CEO (non-founder),Charlotte Tilbury,majority,2020,Beauty,Founding CEO of 14 years through Puig deal,https://www.businessoffashion.com/news/beauty/demetra-pinsent-exits-charlotte-tilbury/,
Brandon Truaxe,founder,Founder,Deciem (The Ordinary),majority,2021,Beauty,Estee Lauder majority; founder died 2019,https://www.elcompanies.com/en/news-and-media/newsroom/press-releases/2021/02-23-2021-114517626,
Nicola Kilner,alumni,Co-Founder & CEO (non-founder-tier),Deciem (The Ordinary),majority,2021,Beauty,Led Deciem into Estee Lauder deal,https://fortune.com/2021/09/11/nicola-kilner-deciem-brandon-truaxe-the-ordinary/,
Tiffany Masterson,founder,Founder & CEO,Drunk Elephant,acquisition,2019,Beauty,~$845M sale to Shiseido,https://www.forbes.com/sites/chloesorvino/2019/10/08/drunk-elephant-sells-for-845-million,
Tim Warner,alumni,CEO (non-founder),Drunk Elephant,acquisition,2019,Beauty,"Ex-Urban Decay CEO, led into Shiseido deal",https://wwd.com/beauty-industry-news/skin-care/urban-decay-ceo-tim-warner-heading-to-drunk-elephant-10869587/,
Lilli Gordon,founder,Founder & CEO,First Aid Beauty,acquisition,2018,Beauty,Acquired by P&G,https://wwd.com/beauty-industry-news/beauty-features/feature/first-aid-beauty-founder-pg-1203354392/,
Dwight Lee,founder,Co-Founder,Hero Cosmetics,acquisition,2022,Beauty,"Mighty Patch maker, $630M to Church & Dwight",https://wwd.com/beauty-industry-news/beauty-features/church-dwight-acquires-hero-cosmetics-1235310826/,
Ju Rhyu,founder,Co-Founder & CEO,Hero Cosmetics,acquisition,2022,Beauty,$630M sale to Church & Dwight,https://www.forbes.com/sites/gabbyshacknai/2022/09/06/hero-cosmetics-acquired,
Jamie Kern Lima,founder,Co-Founder & CEO,IT Cosmetics,acquisition,2016,Beauty,$1.2B sale to L'Oreal,https://www.forbes.com/sites/chloesorvino/2017/05/17/jamie-kern-lima-loreal-it-cosmetics/,
Paulo Lima,founder,Co-Founder,IT Cosmetics,acquisition,2016,Beauty,$1.2B sale to L'Oreal,https://www.loreal-finance.com/eng/news-release/loreal-signs-agreement-acquire-it-cosmetics,
Kylie Jenner,founder,Founder,Kylie Cosmetics,majority,2020,Beauty,Coty bought 51% for $600M,https://www.retaildive.com/news/coty-acquires-majority-stake-in-kylie-beauty-for-600m/567525/,
Moiz Ali,founder,Founder & CEO,Native,acquisition,2017,Beauty,~$100M sale to P&G,https://www.cnbc.com/2017/11/15/pg-has-acquired-native-natural-deodorant-brand.html,
Dean Christal,founder,Founder,Olaplex,IPO,2021,Beauty,"Nasdaq IPO, ~$1.5B raised",https://en.wikipedia.org/wiki/Olaplex,
JuE Wong,alumni,President & CEO (non-founder),Olaplex,IPO,2021,Beauty,Led brand through Nasdaq IPO,https://www.forbes.com/sites/meimeifox/2021/10/01/jue-wong-olaplex,
Holly Thaggard,founder,Founder,Supergoop,majority,2021,Beauty,Blackstone Growth majority investment,https://www.blackstone.com/news/press/blackstone-growth-bxg-majority-investment-in-supergoop/,
Amanda Baldwin,alumni,President (non-founder),Supergoop,majority,2021,Beauty,Led growth; later CEO,https://www.adweek.com/inside-the-brand/supergoops-president-wall-street-to-sunscreen/,
Vicky Tsai,founder,Founder & CEO,Tatcha,acquisition,2019,Beauty,~$500M sale to Unilever,https://beautymatter.com/articles/unilever-acquires-tatcha-for-a-reported-500-million,
Greg Gonzalez,founder,Co-Founder,Youth to the People,acquisition,2021,Beauty,Acquired by L'Oreal,https://www.loreal.com/en/press-release/group/loreal-acquisition-youth-to-the-people/,
Joe Cloyes,founder,Co-Founder,Youth to the People,acquisition,2021,Beauty,Acquired by L'Oreal,https://www.beautyindependent.com/co-founder-joe-cloyes-strategies-loreal-acquisition-youth-to-the-people/,
Haydn Schneider,founder,Co-founder,Alani Nu,acquisition,2025,CPG/Food/Drink,Co-founder alongside Katy Hearn,https://ir.celsiusholdingsinc.com/news/news-details/2025/Celsius-Holdings-to-Acquire-Alani-Nu,
Katy Hearn,founder,Co-founder,Alani Nu,acquisition,2025,CPG/Food/Drink,Acquired by Celsius for ~$1.8B,https://ir.celsiusholdingsinc.com/news/news-details/2025/Celsius-Holdings-to-Acquire-Alani-Nu,
Ben Weiss,founder,Founder & CEO,Bai,acquisition,2016,CPG/Food/Drink,$1.7B sale to Dr Pepper Snapple,https://www.inc.com/magazine/201707/will-yakowicz/ben-weiss/how-i-did-it-ben-weiss-bai-brands.html,
Ken Kurtz,alumni,President (non-founder),Bai,acquisition,2016,CPG/Food/Drink,"Non-founder president, global sales",https://www.prnewswire.com/news-releases/bai-brands-names-ken-kurtz-president-210989651.html,
Ethan Brown,founder,Founder & CEO,Beyond Meat,IPO,2019,CPG/Food/Drink,Nasdaq IPO at $25/share,https://www.forbes.com/sites/michaelpellmanrowland/2019/05/02/beyond-meat-ipo-soars/,
Seth Goldman,alumni,Executive Chairman (non-founder),Beyond Meat,IPO,2019,CPG/Food/Drink,Honest Tea co-founder; Exec Chairman through IPO,https://investors.beyondmeat.com/board-member-management/seth-goldman/,
James Freeman,founder,Founder,Blue Bottle Coffee,majority,2017,CPG/Food/Drink,Nestle bought 68% (~$500M),https://en.wikipedia.org/wiki/Blue_Bottle_Coffee,
Bryan Meehan,alumni,CEO & Chairman (non-founder),Blue Bottle Coffee,majority,2017,CPG/Food/Drink,Non-founder CEO who scaled the brand,https://en.wikipedia.org/wiki/Bryan_Meehan,
Lance Collins,founder,Co-founder & CEO,BODYARMOR,majority,2021,CPG/Food/Drink,"Coke full control, $5.6B",https://investors.coca-colacompany.com/news-events/press-releases/detail/1041,
Mike Repole,founder,Co-founder & Chairman,BODYARMOR,majority,2021,CPG/Food/Drink,"Coke full control, $5.6B",https://www.forbes.com/sites/elizahaverstock/2021/11/05/bodyarmor-cofounder,
Brent Hastie,alumni,President (non-founder),BODYARMOR,majority,2021,CPG/Food/Drink,Non-founder president from 2018,https://www.bevnet.com/news/2018/bodyarmor-sports-drink-names-brent-hastie-president/,
Lance Collins,founder,Founder,Core Hydration,acquisition,2018,CPG/Food/Drink,Sold to Keurig Dr Pepper for $525M,https://www.bevnet.com/news/2018/keurig-dr-pepper-to-acquire-core-for-525-million/,
Yuseff Cherney,founder,Co-founder & Master Distiller,Cutwater Spirits,acquisition,2019,CPG/Food/Drink,AB InBev first US spirits buy,https://www.cutwaterspirits.com/about,
Dan Lourenco,founder,Co-founder & CEO,Ghost,majority,2024,CPG/Food/Drink,Keurig Dr Pepper took 60% for $990M,https://news.keurigdrpepper.com/2024-10-24-Keurig-Dr-Pepper-to-Acquire-Disruptive-Energy-Drink-Business-GHOST,
Ryan Hughes,founder,Co-founder & CMO,Ghost,majority,2024,CPG/Food/Drink,Brand and marketing architect,https://news.keurigdrpepper.com/2024-10-24-Keurig-Dr-Pepper-to-Acquire-Disruptive-Energy-Drink-Business-GHOST,
Doug Bouton,founder,"Co-founder, President & COO",Halo Top,acquisition,2019,CPG/Food/Drink,Acquired by Wells Enterprises,https://theorg.com/org/halo-top/org-chart/douglas-bouton,
Justin Woolverton,founder,Co-founder & CEO,Halo Top,acquisition,2019,CPG/Food/Drink,Acquired by Wells Enterprises,https://en.wikipedia.org/wiki/Halo_Top_Creamery,
Dan Gluck,founder,Co-founder,Health Warrior,acquisition,2018,CPG/Food/Drink,Acquired by PepsiCo,https://www.entrepreneur.com/growing-a-business/a-quick-oral-history-of-health-warrior-the-10/326684,
Nick Morris,founder,Co-founder,Health Warrior,acquisition,2018,CPG/Food/Drink,Acquired by PepsiCo,https://www.entrepreneur.com/growing-a-business/a-quick-oral-history-of-health-warrior-the-10/326684,
Shane Emmett,founder,Co-founder & CEO,Health Warrior,acquisition,2018,CPG/Food/Drink,Acquired by PepsiCo,https://www.pepsico.com/en/newsroom/press-releases/2018,
Jason Karp,founder,Co-founder & Chairman,Hu,acquisition,2021,CPG/Food/Drink,Acquired by Mondelez,https://ir.mondelezinternational.com/news-releases/news-release-details/mondelez-international-acquires-hu-well-being-snacking-company/,
Jessica Karp,founder,Co-founder,Hu,acquisition,2021,CPG/Food/Drink,Acquired by Mondelez,https://hukitchen.com/pages/about-us,
Jordan Brown,founder,Co-founder,Hu,acquisition,2021,CPG/Food/Drink,Acquired by Mondelez,https://hukitchen.com/pages/about-us,
Mark Ramadan,alumni,CEO (non-founder),Hu,acquisition,2021,CPG/Food/Drink,Non-founder CEO from 2019 who led exit,https://www.forbes.com/sites/janetforgrieve/2019/08/09/ketchup-entrepreneur-mark-ramadan-named-ceo-at-chocolate-maker-hu/,
Bill Moses,founder,"Co-founder, Chairman & CEO",KeVita,acquisition,2016,CPG/Food/Drink,Probiotic drinks acquired by PepsiCo,https://en.wikipedia.org/wiki/William_Moses_(businessman),
Chakra Earthsong,founder,Co-founder & Chief Formulator,KeVita,acquisition,2016,CPG/Food/Drink,Formulated the probiotic drinks,https://www.crunchbase.com/person/chakra-earthsong-levy,
Daniel Lubetzky,founder,Founder & CEO,KIND,majority,2020,CPG/Food/Drink,"Mars majority stake, ~$5B valuation",https://www.mars.com/news-and-stories/press-releases/kind-and-mars-announce-next-step-partnership,
John Leahy,alumni,President & COO,KIND,majority,2020,CPG/Food/Drink,"Non-founder operator, scaled distribution",https://www.kindsnacks.com/media-center/press-releases/john-leahy-retirement,
Cameron Smith,founder,Co-founder & President,Kodiak Cakes,majority,2021,CPG/Food/Drink,Majority stake to L Catterton,https://www.foodnavigator-usa.com/Article/2021/08/05/Kodiak-Cakes,
Joel Clark,founder,Co-founder & CEO,Kodiak Cakes,majority,2021,CPG/Food/Drink,Majority stake to L Catterton,https://www.prnewswire.com/news-releases/l-catterton-acquires-kodiak-cakes-301298664.html,
JP Iberti,founder,Co-founder,La Colombe Coffee,acquisition,2023,CPG/Food/Drink,Co-founded 1994 in Philadelphia,https://en.wikipedia.org/wiki/La_Colombe_Coffee_Roasters,
Todd Carmichael,founder,Co-founder & CEO,La Colombe Coffee,acquisition,2023,CPG/Food/Drink,Chobani ~$900M acquisition,https://en.wikipedia.org/wiki/La_Colombe_Coffee_Roasters,
Brandin Cohen,founder,Founder & CEO,Liquid I.V.,acquisition,2020,CPG/Food/Drink,Hydration mix acquired by Unilever,https://www.unilever.com/news/press-and-media/press-releases/2020/unilever-to-acquire-liquid-iv/,
Mike Keech,alumni,CEO (non-founder),Liquid I.V.,acquisition,2020,CPG/Food/Drink,"CEO from 2020, scaled post-Unilever",https://councils.forbes.com/profile/Mike-Keech-CEO-Liquid-I-V,
Allison Ellsworth,founder,Co-founder & Chief Brand Officer,Poppi,acquisition,2025,CPG/Food/Drink,~$1.95B sale to PepsiCo,https://fortune.com/2025/06/16/poppi-founder-allison-ellsworth,
Stephen Ellsworth,founder,Co-founder,Poppi,acquisition,2025,CPG/Food/Drink,~$1.95B sale to PepsiCo,https://www.bevnet.com/news/2022/poppi-names-chris-hall-as-ceo/,
Chris Hall,alumni,CEO (non-founder),Poppi,acquisition,2025,CPG/Food/Drink,Non-founder CEO from 2022,https://www.bevnet.com/news/2022/poppi-names-chris-hall-as-ceo/,
Mark Sisson,founder,Co-founder,Primal Kitchen,acquisition,2018,CPG/Food/Drink,~$200M sale to Kraft Heinz,https://news.kraftheinzcompany.com/press-releases-details/2018/Kraft-Heinz-Signs-Definitive-Agreement-to-Acquire-Primal-Kitchen/default.aspx,
Morgan Buehler Zanotti,founder,Co-founder & President,Primal Kitchen,acquisition,2018,CPG/Food/Drink,~$200M sale to Kraft Heinz,https://www.summitpartners.com/news/morgan-buehler-zanotti-joins-summit-partners-as-executive-in-residence,
Mike Osborn,founder,Co-founder & CEO,Quest Nutrition,acquisition,2019,CPG/Food/Drink,~$1B sale to Simply Good Foods,https://en.wikipedia.org/wiki/Quest_Nutrition,
Ron Penna,founder,Co-founder & Chief Scientific Officer,Quest Nutrition,acquisition,2019,CPG/Food/Drink,~$1B sale to Simply Good Foods,https://www.inc.com/kimberly-weisul/quest-nutrition-atkins-protein-bar-simply-good-foods-billion.html,
Tom Bilyeu,founder,Co-founder & President,Quest Nutrition,acquisition,2019,CPG/Food/Drink,~$1B sale to Simply Good Foods,https://www.foodnavigator-usa.com/Article/2015/11/11/Quest-Nutrition-president,
Dave Ritterbush,alumni,President & CEO,Quest Nutrition,acquisition,2019,CPG/Food/Drink,Non-founder CEO through exit,https://www.just-food.com/news/ex-quest-nutrition-ceo-dave-ritterbush-named-califia-farms-chief/,
Russell Weiner,founder,Founder & CEO,Rockstar Energy,acquisition,2020,CPG/Food/Drink,Sold to PepsiCo for $3.85B,https://www.forbes.com/sites/kristinstoller/2020/03/11/rockstar-energy-drink-founder-cashing-out,
Jared Smith,founder,Co-founder & COO,RXBAR,acquisition,2017,CPG/Food/Drink,$600M sale to Kellogg,https://www.entrepreneur.com/growing-a-business/the-founders-of-rxbar-acquired-by-kellogg-for-600/308136,
Peter Rahal,founder,Co-founder & CEO,RXBAR,acquisition,2017,CPG/Food/Drink,$600M sale to Kellogg,https://www.entrepreneur.com/growing-a-business/the-founders-of-rxbar-acquired-by-kellogg-for-600/308136,
Miguel Garza,founder,Co-founder & CEO,Siete Foods,acquisition,2024,CPG/Food/Drink,$1.2B sale to PepsiCo,https://www.pepsico.com/en/newsroom/press-releases/2025/pepsico-completes-acquisition-of-siete-foods,
Veronica Garza,founder,Co-founder & Chief Innovation Officer,Siete Foods,acquisition,2024,CPG/Food/Drink,$1.2B sale to PepsiCo,https://alcalde.texasexes.org/2020/07/siete-family-foods-is-reimagining-mexican-american-cuisine,
Sami Jallad,alumni,COO & CFO,Siete Foods,acquisition,2024,CPG/Food/Drink,Non-founder operator through PepsiCo deal,https://finance.yahoo.com/news/leadership-shakeup-announced-popular-texas-013011355.html,
Katlin Smith,founder,Founder & CEO,Simple Mills,acquisition,2025,CPG/Food/Drink,$795M sale to Flowers Foods,https://flowersfoods.com/news/news-releases/2025/flowers-foods-inc-to-acquire-simple-mills/,
Mark Ramadan,founder,Co-founder & CEO,Sir Kensington's,acquisition,2017,CPG/Food/Drink,Acquired by Unilever,https://www.nosh.com/news/2017/sir-kensingtons-co-founder-ceo-talks-unilever-deal/,
Scott Norton,founder,Co-founder,Sir Kensington's,acquisition,2017,CPG/Food/Drink,Acquired by Unilever,https://www.nosh.com/news/2017/sir-kensingtons-co-founder-ceo-talks-unilever-deal/,
Tara Bosch,founder,Founder & CEO,SmartSweets,majority,2020,CPG/Food/Drink,"TPG majority stake, ~CAD $360M",https://www.tpg.com/news-and-insights/tpg-backs-leading-better-you-candy-brand-smartsweets,
Todd Lachman,founder,"Founder, President & CEO",Sovos Brands (Rao's),acquisition,2023,CPG/Food/Drink,$2.7B sale to Campbell Soup,https://www.crunchbase.com/person/todd-lachman,
Kathleen King,founder,Founder,Tate's Bake Shop,acquisition,2018,CPG/Food/Drink,~$500M sale to Mondelez,https://ir.mondelezinternational.com/news-releases/news-release-details/mondelez-international-acquire-tates-bake-shop,
Maura Mottolese,alumni,CEO (non-founder),Tate's Bake Shop,acquisition,2018,CPG/Food/Drink,Non-founder CEO through Mondelez sale,https://management.buffalo.edu/about/buffalo-business/2020spring/features/alumni-close-up-maura-mottolese.html,
Ira Liran,founder,Co-founder,Vita Coco,IPO,2021,CPG/Food/Drink,Co-founded coconut water brand,https://investors.thevitacococompany.com/management/ira-liran,
Michael Kirban,founder,Co-founder & Executive Chairman,Vita Coco,IPO,2021,CPG/Food/Drink,NASDAQ IPO (COCO),https://en.wikipedia.org/wiki/Vita_Coco,
Martin Roper,alumni,"CEO (non-founder, joined as President 2019)",Vita Coco,IPO,2021,CPG/Food/Drink,"Ex-Boston Beer CEO, led through IPO",https://investors.thevitacococompany.com/management/martin-roper,
Matt O'Hayer,founder,Founder & Executive Chairman,Vital Farms,IPO,2020,CPG/Food/Drink,"Nasdaq IPO, ~$1.3B valuation",https://en.wikipedia.org/wiki/Vital_Farms,
Russell Diez-Canseco,alumni,President & CEO (non-founder),Vital Farms,IPO,2020,CPG/Food/Drink,Non-founder CEO who scaled to IPO,https://investors.vitalfarms.com/news-releases/news-release-details/ey-honors-vital-farms-president-ceo-russell-diez-canseco,
Kurt Seidensticker,founder,Founder & CEO,Vital Proteins,majority,2020,CPG/Food/Drink,Nestle Health Science majority stake,https://www.nestle.com/media/pressreleases/allpressreleases/nestle-health-science-to-acquire-majority-stake-vital-proteins,
Shawn Bushouse,alumni,COO & CFO (non-founder),Vital Proteins,majority,2020,CPG/Food/Drink,Non-founder COO/CFO from 2018,https://profilemagazine.com/2020/shawn-bushouse-vital-proteins/,
Stuart Lombard,founder,"Founder, President & CEO",Ecobee,acquisition,2021,Consumer AI,Smart thermostat sold to Generac (~$770M),https://en.wikipedia.org/wiki/Ecobee,
Nick Weaver,founder,Co-founder & CEO,Eero,acquisition,2019,Consumer AI,Mesh WiFi startup to Amazon,https://www.cgaa.org/article/eero-company-history,
Eric Friedman,founder,Co-founder & CTO,Fitbit,acquisition,2021,Consumer AI,~$2.1B sale to Google,https://en.wikipedia.org/wiki/Fitbit,
James Park,founder,Co-founder & CEO,Fitbit,acquisition,2021,Consumer AI,~$2.1B sale to Google,https://www.cnbc.com/2021/08/03/fitbit-ceo-james-park.html,
Tim Rosa,alumni,Global Chief Marketing Officer,Fitbit,acquisition,2021,Consumer AI,Led Fitbit brand/marketing,https://www.zoominfo.com/p/Tim-Rosa/553909765,
Apoorva Mehta,founder,Co-founder & Executive Chairman,Instacart,IPO,2023,Consumer AI,"Founder, former CEO",https://en.wikipedia.org/wiki/Instacart,
Brandon Leonardo,founder,Co-founder,Instacart,IPO,2023,Consumer AI,Co-founder of grocery delivery,https://en.wikipedia.org/wiki/Instacart,
Max Mullen,founder,Co-founder,Instacart,IPO,2023,Consumer AI,Co-founder of grocery delivery,https://en.wikipedia.org/wiki/Instacart,
Fidji Simo,alumni,"CEO (non-founder, joined 2021)",Instacart,IPO,2023,Consumer AI,Ex-Facebook exec; led company to IPO,https://www.prnewswire.com/news-releases/instacart-fidji-simo-ceo-301327620.html,
Brynn Putnam,founder,Founder & CEO,Mirror,acquisition,2020,Consumer AI,Sold to lululemon for ~$500M,https://www.cnbc.com/2020/06/29/lululemon-to-acquire-mirror-for-500-million.html,
Jamie Siminoff,founder,Founder & CEO,Ring,acquisition,2018,Consumer AI,~$1B sale to Amazon,https://www.forbes.com/sites/susanadams/2018/02/27/amazon-buying-ring/,
Anthony Wood,founder,Founder & CEO,Roku,IPO,2017,Consumer AI,Nasdaq IPO Sept 2017 (ROKU),https://en.wikipedia.org/wiki/Anthony_Wood_(businessman),
John MacFarlane,founder,Co-founder & CEO,Sonos,IPO,2018,Consumer AI,Founding CEO of Sonos,https://en.wikipedia.org/wiki/Sonos,
Patrick Spence,alumni,President/COO then CEO,Sonos,IPO,2018,Consumer AI,Non-founder operator who led IPO,https://en.wikipedia.org/wiki/Sonos,
Mike Farley,founder,Co-founder & CEO,Tile,acquisition,2021,Consumer AI,Bluetooth trackers; sold to Life360,https://www.webwire.com/ViewPressRel.asp?aId=194463,
CJ Prober,alumni,CEO (non-founder),Tile,acquisition,2021,Consumer AI,"Hired CEO 2018, led to Life360 sale",https://www.globenewswire.com/news-release/2018/09/24/tile-appoints-cj-prober-ceo/,
Hisao Kushi,founder,Co-founder & Chief Legal Officer,Peloton,IPO,2019,Fitness,Legal/corporate,https://theclipout.com/timeline/peloton-founded-john-foley/,
John Foley,founder,Co-founder & CEO,Peloton,IPO,2019,Fitness,"Lead co-founder, CEO through IPO",https://en.wikipedia.org/wiki/John_Foley_(executive),
Tom Cortese,founder,Co-founder & COO,Peloton,IPO,2019,Fitness,Ran product/ops,https://www.retaildive.com/news/peloton-co-founder-chief-product-officer-to-step-down/694892/,
William Lynch,alumni,President (non-founder),Peloton,IPO,2019,Fitness,"Joined 2017 as President, later CEO",https://www.businesswire.com/news/home/20170209005317/en/Peloton-Appoints-William-Lynch-as-President,
Carl Daikeler,founder,Co-founder & CEO,Beachbody,IPO,2021,Health/Wellness,"SPAC via Forest Road, NYSE BODI",https://en.wikipedia.org/wiki/The_Beachbody_Company,
Craig Elbert,founder,Co-founder & CEO,Care/of,majority,2020,Health/Wellness,Bayer took ~70% at $225M,https://www.forbes.com/sites/elanagross/2020/08/31/bayer-careof/,
Payal Kadakia,founder,Founder & Executive Chairman,ClassPass,acquisition,2021,Health/Wellness,Acquired by Mindbody,https://techcrunch.com/2021/10/13/mindbody-acquires-classpass/,
Fritz Lanman,alumni,CEO (non-founder),ClassPass,acquisition,2021,Health/Wellness,Non-founder CEO through Mindbody deal,https://classpass.com/press-room/newsroom/fritz-lanman-ceo/,
